Date,Time,Symbol,Session,Setup Tag,RR,Outcome,PnL ($),Psychology,Screenshot,Notes
2024-01-01,22:55,GBPUSD,New York,FVG Entry,3.91,BE,0.0,Confident,,Auto note 1
2024-01-02,10:39,GBPUSD,Asian,Liquidity Grab,4.47,Win,447.0,Confident,,Auto note 2
2024-01-03,11:43,GBPUSD,Asian,Breakout,3.44,Loss,-100.0,Confident,,Auto note 3
2024-01-04,17:59,NAS100,Post-News,Reversal,3.46,BE,0.0,Confident,,Auto note 4
2024-01-05,01:13,SPX500,London,FVG Entry,0.74,BE,0.0,Emotional,,Auto note 5
2024-01-06,08:34,XAUUSD,Post-News,Breakout,4.86,Loss,-100.0,Focused,,Auto note 6
2024-01-07,11:33,EURUSD,New York,OB Entry,0.67,Loss,-100.0,Hesitant,,Auto note 7
2024-01-08,23:39,BTCUSD,Asian,FVG Entry,3.99,Loss,-100.0,Confident,,Auto note 8
2024-01-09,00:22,NAS100,Non-Killzone,Reversal,1.13,Win,113.0,Emotional,,Auto note 9
2024-01-10,13:53,GBPUSD,London,FVG Entry,1.07,Loss,-100.0,Focused,,Auto note 10
2024-01-11,17:27,NAS100,London,FVG Entry,1.51,BE,0.0,Confident,,Auto note 11
2024-01-12,18:49,NAS100,Non-Killzone,FVG Entry,4.39,BE,0.0,Confident,,Auto note 12
2024-01-13,15:31,SPX500,Post-News,OB Entry,3.97,Win,397.0,Emotional,,Auto note 13
2024-01-14,06:18,XAUUSD,Non-Killzone,Breakout,2.48,BE,0.0,Focused,,Auto note 14
2024-01-15,13:47,GBPUSD,Non-Killzone,Liquidity Grab,1.82,BE,0.0,Hesitant,,Auto note 15
2024-01-16,14:41,NAS100,London,Liquidity Grab,3.01,Win,301.0,Focused,,Auto note 16
2024-01-17,23:16,EURUSD,London,FVG Entry,3.33,Win,333.0,Emotional,,Auto note 17
2024-01-18,17:27,USDJPY,New York,FVG Entry,4.55,Win,455.0,Focused,,Auto note 18
2024-01-19,22:32,NAS100,London,OB Entry,3.54,Loss,-100.0,Emotional,,Auto note 19
2024-01-20,11:03,XAUUSD,New York,FVG Entry,3.67,BE,0.0,Emotional,,Auto note 20
2024-01-21,06:22,BTCUSD,Non-Killzone,Liquidity Grab,2.33,Win,233.0,Confident,,Auto note 21
2024-01-22,00:08,NAS100,Non-Killzone,Reversal,2.5,Loss,-100.0,Confident,,Auto note 22
2024-01-23,20:49,GBPUSD,New York,Reversal,2.9,BE,0.0,Hesitant,,Auto note 23
2024-01-24,22:13,GBPUSD,Post-News,Breakout,2.21,Win,221.0,Focused,,Auto note 24
2024-01-25,19:02,USDJPY,Non-Killzone,Breakout,2.87,Loss,-100.0,Emotional,,Auto note 25
2024-01-26,11:12,USDJPY,Post-News,Reversal,2.14,BE,0.0,Emotional,,Auto note 26
2024-01-27,08:51,SPX500,London,Liquidity Grab,3.56,Win,356.0,Confident,,Auto note 27
2024-01-28,17:43,NAS100,New York,FVG Entry,3.95,Win,395.0,Emotional,,Auto note 28
2024-01-29,17:49,USDJPY,London,Reversal,2.21,Win,221.0,Confident,,Auto note 29
2024-01-30,18:44,SPX500,Non-Killzone,Breakout,2.19,Loss,-100.0,Hesitant,,Auto note 30
2024-01-31,06:32,XAUUSD,New York,FVG Entry,2.91,Loss,-100.0,Focused,,Auto note 31
2024-02-01,06:18,NAS100,New York,OB Entry,4.77,Loss,-100.0,Hesitant,,Auto note 32
2024-02-02,09:24,EURUSD,Asian,FVG Entry,4.84,Loss,-100.0,Hesitant,,Auto note 33
2024-02-03,17:49,XAUUSD,Post-News,OB Entry,4.29,Win,429.0,Confident,,Auto note 34
2024-02-04,20:29,USDJPY,Non-Killzone,Breakout,2.66,Win,266.0,Focused,,Auto note 35
2024-02-05,09:15,NAS100,New York,FVG Entry,2.39,Win,239.0,Focused,,Auto note 36
2024-02-06,09:33,XAUUSD,London,Liquidity Grab,1.24,Win,124.0,Focused,,Auto note 37
2024-02-07,12:35,EURUSD,Asian,Reversal,4.61,Win,461.0,Focused,,Auto note 38
2024-02-08,05:27,BTCUSD,London,Reversal,2.6,Win,260.0,Confident,,Auto note 39
2024-02-09,04:55,GBPUSD,London,FVG Entry,4.24,Win,424.0,Focused,,Auto note 40
2024-02-10,21:08,GBPUSD,Non-Killzone,Reversal,3.39,BE,0.0,Emotional,,Auto note 41
2024-02-11,14:44,NAS100,New York,OB Entry,4.31,Loss,-100.0,Hesitant,,Auto note 42
2024-02-12,02:32,EURUSD,Asian,Liquidity Grab,3.24,Loss,-100.0,Confident,,Auto note 43
2024-02-13,05:37,GBPUSD,New York,OB Entry,1.32,Win,132.0,Hesitant,,Auto note 44
2024-02-14,10:21,GBPUSD,Post-News,OB Entry,1.16,Win,116.0,Confident,,Auto note 45
2024-02-15,03:14,XAUUSD,Post-News,Reversal,3.06,BE,0.0,Hesitant,,Auto note 46
2024-02-16,04:50,GBPUSD,New York,FVG Entry,4.68,BE,0.0,Emotional,,Auto note 47
2024-02-17,03:15,NAS100,Asian,Reversal,1.08,Loss,-100.0,Focused,,Auto note 48
2024-02-18,16:01,XAUUSD,Non-Killzone,Breakout,2.92,Win,292.0,Confident,,Auto note 49
2024-02-19,23:18,SPX500,Asian,Liquidity Grab,4.93,Loss,-100.0,Emotional,,Auto note 50
2024-02-20,04:43,GBPUSD,Non-Killzone,Reversal,3.83,Loss,-100.0,Focused,,Auto note 51
2024-02-21,23:50,NAS100,Post-News,OB Entry,0.68,Loss,-100.0,Focused,,Auto note 52
2024-02-22,21:33,BTCUSD,Asian,Reversal,2.86,BE,0.0,Emotional,,Auto note 53
2024-02-23,04:13,USDJPY,Asian,FVG Entry,1.4,Win,140.0,Hesitant,,Auto note 54
2024-02-24,03:35,USDJPY,Non-Killzone,Liquidity Grab,3.87,Loss,-100.0,Hesitant,,Auto note 55
2024-02-25,16:01,USDJPY,Post-News,Reversal,3.2,BE,0.0,Hesitant,,Auto note 56
2024-02-26,22:48,BTCUSD,Post-News,OB Entry,4.2,Win,420.0,Hesitant,,Auto note 57
2024-02-27,05:02,NAS100,Non-Killzone,OB Entry,4.11,BE,0.0,Confident,,Auto note 58
2024-02-28,12:42,USDJPY,Non-Killzone,Reversal,3.89,Loss,-100.0,Emotional,,Auto note 59
2024-02-29,20:24,EURUSD,New York,OB Entry,2.37,Loss,-100.0,Emotional,,Auto note 60
2024-03-01,05:26,EURUSD,Asian,FVG Entry,3.11,Loss,-100.0,Confident,,Auto note 61
2024-03-02,22:39,EURUSD,Asian,Breakout,2.5,BE,0.0,Emotional,,Auto note 62
2024-03-03,10:47,USDJPY,Non-Killzone,FVG Entry,3.34,BE,0.0,Confident,,Auto note 63
2024-03-04,19:14,USDJPY,Post-News,FVG Entry,1.77,Win,177.0,Focused,,Auto note 64
2024-03-05,09:03,SPX500,Non-Killzone,Liquidity Grab,4.84,Win,484.0,Confident,,Auto note 65
2024-03-06,11:24,SPX500,Post-News,FVG Entry,0.53,BE,0.0,Hesitant,,Auto note 66
2024-03-07,23:08,USDJPY,London,OB Entry,4.61,Win,461.0,Hesitant,,Auto note 67
2024-03-08,19:03,NAS100,New York,FVG Entry,4.46,Loss,-100.0,Emotional,,Auto note 68
2024-03-09,06:40,USDJPY,New York,FVG Entry,0.66,Win,66.0,Focused,,Auto note 69
2024-03-10,07:48,EURUSD,London,Reversal,1.35,BE,0.0,Emotional,,Auto note 70
2024-03-11,04:43,GBPUSD,London,FVG Entry,1.95,Win,195.0,Emotional,,Auto note 71
2024-03-12,18:36,EURUSD,London,Liquidity Grab,3.76,Win,376.0,Hesitant,,Auto note 72
2024-03-13,15:56,SPX500,New York,Reversal,1.4,BE,0.0,Emotional,,Auto note 73
2024-03-14,02:58,EURUSD,London,Reversal,2.33,Loss,-100.0,Emotional,,Auto note 74
2024-03-15,06:31,SPX500,New York,Reversal,1.21,Loss,-100.0,Confident,,Auto note 75
2024-03-16,18:41,EURUSD,Non-Killzone,Liquidity Grab,3.68,Win,368.0,Focused,,Auto note 76
2024-03-17,22:52,SPX500,New York,FVG Entry,4.56,BE,0.0,Hesitant,,Auto note 77
2024-03-18,03:29,NAS100,Asian,FVG Entry,2.43,Loss,-100.0,Focused,,Auto note 78
2024-03-19,19:55,BTCUSD,Post-News,OB Entry,0.89,Loss,-100.0,Focused,,Auto note 79
2024-03-20,08:09,USDJPY,Asian,OB Entry,0.96,Win,96.0,Confident,,Auto note 80
2024-03-21,19:17,XAUUSD,New York,Breakout,1.13,Win,113.0,Focused,,Auto note 81
2024-03-22,23:25,GBPUSD,New York,Reversal,1.09,Win,109.0,Focused,,Auto note 82
2024-03-23,13:22,EURUSD,London,Liquidity Grab,4.56,Win,456.0,Confident,,Auto note 83
2024-03-24,00:41,BTCUSD,Asian,FVG Entry,2.53,BE,0.0,Emotional,,Auto note 84
2024-03-25,10:18,USDJPY,New York,Breakout,2.75,Loss,-100.0,Confident,,Auto note 85
2024-03-26,17:04,XAUUSD,Non-Killzone,FVG Entry,2.38,Loss,-100.0,Emotional,,Auto note 86
2024-03-27,06:43,XAUUSD,Post-News,OB Entry,2.63,Loss,-100.0,Hesitant,,Auto note 87
2024-03-28,23:43,GBPUSD,Asian,Liquidity Grab,2.21,Loss,-100.0,Emotional,,Auto note 88
2024-03-29,22:55,EURUSD,New York,Reversal,2.31,Loss,-100.0,Confident,,Auto note 89
2024-03-30,12:51,XAUUSD,Post-News,FVG Entry,1.8,Win,180.0,Hesitant,,Auto note 90
2024-03-31,18:28,XAUUSD,London,Reversal,3.27,BE,0.0,Confident,,Auto note 91
2024-04-01,18:27,SPX500,New York,Liquidity Grab,0.7,Win,70.0,Confident,,Auto note 92
2024-04-02,19:00,EURUSD,Non-Killzone,FVG Entry,0.55,BE,0.0,Confident,,Auto note 93
2024-04-03,03:31,NAS100,Asian,FVG Entry,0.84,Loss,-100.0,Hesitant,,Auto note 94
2024-04-04,19:07,BTCUSD,Non-Killzone,Breakout,4.22,BE,0.0,Focused,,Auto note 95
2024-04-05,18:13,BTCUSD,Post-News,Breakout,2.38,Loss,-100.0,Emotional,,Auto note 96
2024-04-06,01:16,BTCUSD,Post-News,Reversal,2.18,Loss,-100.0,Confident,,Auto note 97
2024-04-07,18:40,XAUUSD,Post-News,Reversal,3.12,BE,0.0,Hesitant,,Auto note 98
2024-04-08,03:11,BTCUSD,Non-Killzone,Reversal,3.5,Loss,-100.0,Focused,,Auto note 99
2024-04-09,19:59,XAUUSD,Post-News,Reversal,2.75,Win,275.0,Hesitant,,Auto note 100
2024-04-10,14:04,GBPUSD,London,Liquidity Grab,2.7,Loss,-100.0,Emotional,,Auto note 101
2024-04-11,17:50,GBPUSD,Post-News,Reversal,1.84,BE,0.0,Emotional,,Auto note 102
2024-04-12,07:43,SPX500,Asian,OB Entry,1.04,BE,0.0,Focused,,Auto note 103
2024-04-13,02:52,USDJPY,London,FVG Entry,0.54,Win,54.0,Confident,,Auto note 104
2024-04-14,15:10,SPX500,Asian,Liquidity Grab,0.94,BE,0.0,Focused,,Auto note 105
2024-04-15,05:39,NAS100,Asian,OB Entry,2.45,BE,0.0,Hesitant,,Auto note 106
2024-04-16,19:39,SPX500,London,OB Entry,4.33,Win,433.0,Hesitant,,Auto note 107
2024-04-17,08:28,SPX500,New York,OB Entry,3.91,Loss,-100.0,Hesitant,,Auto note 108
2024-04-18,13:46,BTCUSD,Post-News,Liquidity Grab,2.03,Loss,-100.0,Hesitant,,Auto note 109
2024-04-19,04:02,USDJPY,London,Breakout,4.45,Loss,-100.0,Confident,,Auto note 110
2024-04-20,09:26,GBPUSD,Post-News,Reversal,4.78,Win,478.0,Emotional,,Auto note 111
2024-04-21,06:10,GBPUSD,New York,Liquidity Grab,2.42,Loss,-100.0,Hesitant,,Auto note 112
2024-04-22,09:08,USDJPY,Non-Killzone,Liquidity Grab,0.59,Loss,-100.0,Focused,,Auto note 113
2024-04-23,15:54,EURUSD,Post-News,Liquidity Grab,1.4,Win,140.0,Hesitant,,Auto note 114
2024-04-24,02:36,BTCUSD,Post-News,OB Entry,4.75,Win,475.0,Emotional,,Auto note 115
2024-04-25,03:25,SPX500,Post-News,OB Entry,1.41,BE,0.0,Hesitant,,Auto note 116
2024-04-26,01:19,BTCUSD,London,Breakout,3.05,Win,305.0,Hesitant,,Auto note 117
2024-04-27,03:51,GBPUSD,New York,Reversal,1.47,BE,0.0,Emotional,,Auto note 118
2024-04-28,23:44,GBPUSD,Non-Killzone,Liquidity Grab,3.41,Loss,-100.0,Emotional,,Auto note 119
2024-04-29,20:47,BTCUSD,Asian,Reversal,1.35,BE,0.0,Focused,,Auto note 120
